 January 2023,5,A Palace in the Medina,"According to our guides, Palais Zahia was once an actual palace, it's not just a name. Fortunately for us, we found Palais Zahia and booked rooms. What a treat. Though the hotel is really nice, the staff were the best; they made us feel like royalty.",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 December 2022,5,A jewel in the medina,"The hoel is a short walk up a slopping alley into the medina, and walking in the fist impression of the attrium / courtyard is extraordinary. The detail, the diversity of materials and artisry.. it's breathtaking. With a tea and cookie welcome, you are introduced to the friendly and helpful staff, wh took excellent care of us. The rooftop terrace is another view into the medina and the surrounding area. The room was similarly impressive, and our night there comfortable. Breakfast the next day was extensive, and we were attended to by Samir, who was a serice-focused standout. This is an excellent place to base for both walks through the medina and the area by the bay and the surrounding hills. Very impressive.",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 December 2022,5,Authentic morroccan experience,"An incredible taste of Morocco here at Palais Zahia near the Grand Mosque. Delicious food with fish pastilla, a bit of sweetness with traditional tea and desert. Well welcomed, I recommend with confidence !",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 November 2022,4,Authentic Morocco Cuisine,"First of all the place is designed so soulfully, that the moment you enter the restaurant area, you fall in love with it. and then the staff are super polite and smart. We saw just two waiters who were super efficiently moving around taking orders, serving food, taking pics of clients, clearing table, billing, etc. The food was just too too good and authentic in taste and texture. A must visit.",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,4,"Great staff, great food, great decor. Great experience Love it",I would have given this 5 stars except our room was a little small and not a lot of area to store our luggage. The staff were amazing and worth 6 stars! The cook even started work half an hour early so we could have an early dinner. They took exceptional care of our group. The food was excellent and the decor was exquisite. I loved staying here. Thank you for an amazing experience.,Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,4,"Nice and well located hotel, poor half board experience","This hotel is placed in an excellent location, right at the centre of the Petit Soco in the Medina. Attractions are very close and you can walk everywhere ( we arrived by train and where picked up, but arriving by car might be tricky as it is located on a Medina street). The hotel is colourfully decorated and rooms are ample, clean and have all required toiletries. The terrace has a great view of the port and the Medina top. Breakfast is buffet, plentiful and with good variety ( scrambled eggs, cereal, several types of breads and pastries, jams, honey, butter, cheese and fruit). Service was very good, particularly Samir who is always checking on you to ensure you have everything you need. We book the hotel with half board, and that was very disappointing: they only offer 3 fixed…",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,5,Fantastic hotel service and ambiance,"This riad was very lovely and beautiful. The workers there were hospitable and showed us all the locations we should hit. rooms were comfy, we got upgraded to a suite for free because of an issue in the other room we had booked. The only thing i’d say is this is right in the medina, which is a little hard to get to with luggage, cars driving in the medina is wild. we did it, but we got them to pick us up. i’d recommend asking them pick you up instead of taking a cab.",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,5,Beautiful Respite in Morocco,My husband and I loved staying at the Palais Zahia in Tangier! The beautiful breakfast and amazing rooftop were the highlights. The rooms were comfortable and clean with all the amenities one might need. The service was excellent and can’t be beat!! You don’t want to miss this hotel!,Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 July 2022,5,"Beautiful, well-located hotel with wonderful terrace and bountiful breakfast.","Beautiful, well-located hotel with wonderful terrace and bountiful breakfast. Very friendly and helpful staff, especially the manager's/owner's daughter who speaks English. Rooms are a little small but very nice. We enjoyed our two night stay!",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 May 2022,4,Beautiful Stay,"Kind, welcoming and attentive staff. Beautiful building and decor conveniently located in the Medina, a short walk to most restaurants and shops. Yusef is the best! Comfortable quiet room, clean bathroom. * bath towels could be better",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 July 2022,5,Fantastic Riad and Staff,"This was an amazing experience from beginning to end. The clear communication via e-mail and WhatsApp was truly appreciated during our planning. The Riad is absolutely beautiful, the rooms are really comfortable, and the Hammam with Samira is a must. What a fantastic experience our time was here. Our family highly recommends Palais Zahia. A special thank you to Zineb and Abed!",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 May 2022,1,Not recomended,"I stayed at the hotel about a month ago. It is important to note that the hotel is in the center of the cMedina, so taxis or cars cannot get to it, which means you will have to carry your luggage by yourself. The hotel is built in like Riyadh, and in the evening there is loud music at dinner, which lasts at least until 22:00 so if you want to go to bed early, forget about it .... I forgot a bunch of keys in the room. When I got to my house I contacted the hotel and they told me they had found the keys. I asked to have them sent to me and I will pay for the expense (4 keys). I was told that they contacted HDL who told them they were not sending keys ... When I inquired with HDL, they told me it was a lie, and there was no problem sending keys. Until now I have not received my…",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 June 2022,3,Nice Riad,"Were very surprised to have a room without an outside window....small double room, ac too close to the bed, one window onto the central patio, not enough fresh air circulating. Excellent food, personnel very friendly. Well located for the Medina. Next time,we'll stay outside the Medina.",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 June 2022,2,"Very loud, poor service","They messed up three times with my room. I have traveled to over 50 countries and never stayed in a place that messed up my reservation like this one. it literally says “balcony” in the reservation, which I paid extra for. Not only did it not have a balcony (a blatant lie), but they first took me to a (incorrect) room that had two twin beds. I researched so much for this trip with my bf - no way in hell I would’ve chosen a place with two twin beds. I told them they are wrong and they denied it. They then took me to a second incorrect room until they realized and admitted they took me to a second incorrect room. All this being said, I still have not been reimbursed whatsoever for paying more for a room with a balcony that didn’t exist. Lastly, I asked for a quiet room and was…",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 June 2022,5,Excellent Hammam,Wonderful Hammam experience in Palais Zahir. Must book as limited availability. Would recommend spending at least 2 hours . Had an hour of the royal hammam followed by an hour of the tonic massage which is the harder option . Excellent pressure . Highly recommend . Good value for money .,Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,5,One of a kind riad,"I’ve been there with my husband and kid. We are from egypt and it was our first time in morocco and first stay in a riad, it was an awesome experience The riad is neat, clean and perfectly located. All the riad crew Are super friendly and they helped me a lot with our kid and made our stay superb, They even offered us a free transportation with their own private car to the train station. I would definitely stay there again and recommend palais zahia to everyone.",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,Our nicest surprise!,"My wife Monica and I just completed our two month trip of a lifetime. Zurich, the Alps, Italy, Spain, France. On a lark we decided to visit Tangier for six days. Palais Zahia was available. Lena, Drees, Labardi, Mohktar, Abdullah, and the rest of the staff whose names escape me made it by far the most surprising, the most memorable, the most pleasing, the most you name it week of all our travels! We felt like we were leaving close family members when our time came to its end.",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,Amazing experience in Tangier,"Palais Zahia is a hotel located in the heart of Medina (old town). They have only 18 rooms, so the atmosphere is very family like, peaceful and intimate. It is beautifully and traditionally decorated, the food is amazing and the staff is very friendly, welcoming and professIonal. Special thanks to dear Youssef, who was always there, explaining us life in Morocco as well as providing us everything we needed to enjoy our staying there. The experience wouldn’t be the same without him. I’m definitely coming here again!",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,4,Good riad in the medina,The hotel is on the Little Socco which may have historical significance but isn’t really interesting nowadays. It has a few cafes not really for tourists but for the local fauna. It is right in the medina so close to all sites. Easy access from the main place across the port. The riad is richly decorated. Rooms vary in size but are comfortable and clean. Bed are firm but comfortable. The restaurant serves good food but not fine dining. The rooftop terrasse is very pleasant at sunrise and sunset! There is a learning kitchen so groups can have cooking classes.,Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,5,Wonderful!,This is a fantastic hotel. The staff is very accommodating and hospitable. You feel welcomed the moment you walk in the door. The accommodations are very well-maintained. The view from the roof-top terrace is remarkable and gorgeous. The food from the restaurant at the hotel is delicious!,Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,Immersive and welcoming.,"Amazing place and comfortable room. Great place with amazing hospitality. We were offered things to do and recommendations. We were just on foot and walked around locally . This was our first trip to Morrocco and found if we walked into this place and turned around and left that this would be enough experience. We were on foot by ferry overnight and this place had our interest in mind. Great staff and atmosphere, highly recommend.",Palais_Zahia-Tangier_Tanger_Tetouan_Al_Hoceima
